id,track_name,popularity,track_id,duration_ms,album_name,release_date,total_tracks,artist_names,artist_ids,genre
893,Georgia on My Mind,55,6yMGxqKj0218mFR5KqsMRq,219560,True Genius,2021-09-10,90,['Ray Charles'],['1eYhYunlNJlDoQhtYBvPsi'],blues
894,My Baby Just Cares for Me (2013 - Remaster),67,5Lhjlnly9Ynhf52ojQS534,215746,Little Girl Blue (2013 - Remaster),2013-08-27,10,['Nina Simone'],['7G1GBhoKtEPnP86X2PvEYO'],blues
895,Don't Wanna Fight,53,6q0lIjDSuZDhrg9GC9yUQO,232546,Sound & Color,2015-04-21,12,['Alabama Shakes'],['16GcWuvvybAoaHr0NqT8Eh'],blues
896,Goodbye Carolina,55,6lNGQqEos6i2KxISBn24Xc,241608,Goodbye Carolina,2019-04-11,1,['The Marcus King Band'],['0tgaHqkU1p7QhBUIzKXVU9'],blues
897,Take It or Leave It,54,43O3Iu8mDJy10i6k8SVRXX,207320,Melophobia,2013-10-08,10,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
898,When The Curtain Falls,59,2ZMI0QNoqU9fQZFirR9WpK,222960,Anthem Of The Peaceful Army,2018-10-19,11,['Greta Van Fleet'],['4NpFxQe2UvRCAjto3JqlSl'],blues
899,Used to the Darkness,59,3SemJVQCsUo0K3QGN7pIXu,256342,Let the Vultures In,2018-11-02,5,['Des Rocs'],['2kO6mP0olFJGGh6kvUdNC8'],blues
900,Edge Of Darkness,58,4rhUBIlzi7zgV7TryhVujl,268400,From The Fires,2017-11-10,8,['Greta Van Fleet'],['4NpFxQe2UvRCAjto3JqlSl'],blues
901,Move Your Body,75,6GomT970rCOkKAyyrwJeZi,157444,Move Your Body,2021-10-29,1,"['Öwnboss', 'Sevek']","['37czgDRfGMvgRiUKHvnnhj', '0aOIluXr131XqrXFwFCFGT']",brazil
902,Weak,71,62gzfhHi2supfHWfi6iHbA,202560,Weak,2024-01-19,2,"['Vintage Culture', 'Maverick Sabre', 'Tom Breu']","['28uJnu5EsrGml2tBd7y8ts', '0ukgrNYk51TkMQr0f2Br4Q', '4Y4jZlaPkgIlzMp6kmcr9h']",brazil
903,You Give Me A Feeling,69,2qRKTg13LJGHO4fmQTWT7x,185896,You Give Me A Feeling,2021-11-12,1,"['Vintage Culture', 'James Hype']","['28uJnu5EsrGml2tBd7y8ts', '43BxCL6t4c73BQnIJtry5v']",brazil
904,Doses & Mimosas (Vintage Culture & Zerky Remix) - Radio Edit,60,3yZsBXwiQkqLjnWYip17Uu,229586,Doses & Mimosas (Vintage Culture & Zerky Remix) [Radio Edit],2021-03-12,1,"['Vintage Culture', 'Zerky', 'Cherub']","['28uJnu5EsrGml2tBd7y8ts', '3DAlQBPv5zWasPxV5Tr8ok', '00dwwnz3V4kRfu3UFYpJLz']",brazil
905,Baianá,67,4bndkI1TTh7itdsyixtDoD,279680,O Seguinte é Esse,2005-01-01,14,['Barbatuques'],['5xnMjuPp1eDXa8du0SKIHD'],brazil
906,En nacelle,56,35otBCRXC8HdmRqndFStL0,165693,Oswald: Works for Piano,2015-10-02,24,"['Henrique Oswald', 'Sergio Monteiro']","['4aD2Eaf928LA2of01i7gQW', '5lDFX0OjZ7Ss9lFYn0J3G0']",brazil
